Order ID;Segment;Ship Mode;Value
CA-2011-103366;Consumer;First Class;149,95
CA-2011-109043;Consumer;First Class;243,6
CA-2011-113166;Consumer;First Class;9,568
CA-2011-124023;Consumer;First Class;8,96
CA-2011-130155;Consumer;First Class;34,2
CA-2011-136861;Consumer;First Class;31,984
CA-2011-153927;Consumer;First Class;286,65
CA-2011-157784;Consumer;First Class;514,03
CA-2011-160094;Consumer;First Class;1000,95
CA-2011-164749;Consumer;First Class;9,912
CA-2011-166730;Consumer;First Class;39,128
CA-2012-102722;Consumer;First Class;106,5
CA-2012-102778;Consumer;First Class;18,176
CA-2012-117828;Consumer;First Class;194,32
CA-2012-130218;Consumer;First Class;59,48
CA-2012-132318;Consumer;First Class;182,91
CA-2012-137974;Consumer;First Class;2298,9
CA-2012-138625;Consumer;First Class;197,72
CA-2012-141327;Consumer;First Class;440,144
CA-2012-149300;Consumer;First Class;32,985
CA-2012-150560;Consumer;First Class;196,62
CA-2012-165414;Consumer;First Class;47,976
CA-2013-102092;Consumer;First Class;1056,86
CA-2013-102498;Consumer;First Class;73,2
CA-2013-110492;Consumer;First Class;1366,04
CA-2013-119515;Consumer;First Class;15,552
CA-2013-119823;Consumer;First Class;75,88
CA-2013-124772;Consumer;First Class;191,82
CA-2013-125843;Consumer;First Class;125,92
CA-2013-130442;Consumer;First Class;34,944
CA-2013-133872;Consumer;First Class;58,4
CA-2013-145247;Consumer;First Class;79,14
CA-2013-145499;Consumer;First Class;3,282
CA-2013-147368;Consumer;First Class;695,7
CA-2013-157280;Consumer;First Class;1120,73
CA-2013-157364;Consumer;First Class;18,48
CA-2013-164784;Consumer;First Class;377,346
CA-2014-103212;Consumer;First Class;1541,51
CA-2014-105620;Consumer;First Class;141
CA-2014-108287;Consumer;First Class;12,672
CA-2014-109589;Consumer;First Class;71
CA-2014-110198;Consumer;First Class;318,96
CA-2014-112774;Consumer;First Class;34,504
CA-2014-115448;Consumer;First Class;88,92
CA-2014-121314;Consumer;First Class;251,64
CA-2014-121818;Consumer;First Class;52,696
CA-2014-122154;Consumer;First Class;284,19
CA-2014-122994;Consumer;First Class;359,97
CA-2014-125472;Consumer;First Class;253,86
CA-2014-126774;Consumer;First Class;4,89
CA-2014-133235;Consumer;First Class;271,96
CA-2014-138779;Consumer;First Class;29,664
CA-2014-143756;Consumer;First Class;701,96
CA-2014-151218;Consumer;First Class;4,464
CA-2014-156769;Consumer;First Class;54,66
CA-2014-158729;Consumer;First Class;1665,62
CA-2014-158967;Consumer;First Class;19,104
CA-2014-161053;Consumer;First Class;726,91
CA-2014-162635;Consumer;First Class;10,816
CA-2014-163335;Consumer;First Class;79
US-2011-130358;Consumer;First Class;23,12
US-2012-106495;Consumer;First Class;11,672
US-2013-106600;Consumer;First Class;354,9
US-2013-113649;Consumer;First Class;645,136
US-2013-116400;Consumer;First Class;39,92
US-2013-119298;Consumer;First Class;59,98
US-2013-131891;Consumer;First Class;2,214
US-2013-162677;Consumer;First Class;187,616
US-2013-167472;Consumer;First Class;678,87
US-2014-108063;Consumer;First Class;34,65
US-2014-133781;Consumer;First Class;37,608
US-2014-148831;Consumer;First Class;348,56
Grand Total;Consumer;First Class;20802,173
CA-2011-113047;;Same Day;11,85
CA-2011-116239;;Same Day;354,9
CA-2011-130428;;Same Day;1142,165
CA-2011-131541;;Same Day;193,152
CA-2011-142951;;Same Day;23,472
CA-2011-152254;;Same Day;310,688
CA-2012-117884;;Same Day;598,352
CA-2012-136224;;Same Day;10,272
CA-2012-155068;;Same Day;78,456
CA-2013-101378;;Same Day;29
CA-2013-105256;;Same Day;1363,96
CA-2013-106894;;Same Day;107,83
CA-2013-127698;;Same Day;863,928
CA-2013-143308;;Same Day;10,74
CA-2013-144344;;Same Day;314,393
CA-2013-152163;;Same Day;85,5
CA-2013-152471;;Same Day;839,944
CA-2013-159653;;Same Day;14,73
CA-2014-103065;;Same Day;59,824
CA-2014-122987;;Same Day;80,564
CA-2014-144498;;Same Day;817,829
CA-2014-158883;;Same Day;25,344
US-2011-114377;;Same Day;149,9
US-2013-134761;;Same Day;36,192
US-2013-148803;;Same Day;85,224
US-2013-156692;;Same Day;89,32
US-2014-120607;;Same Day;195,64
US-2014-152492;;Same Day;239,24
Grand Total;;Same Day;8132,409
CA-2011-100706;;Second Class;129,44
CA-2011-101266;;Second Class;13,36
CA-2011-109232;;Second Class;545,94
CA-2011-110422;;Second Class;25,248
CA-2011-115357;;Second Class;62,91
CA-2011-120768;;Second Class;1979,89
CA-2011-123925;;Second Class;40,05
CA-2011-124618;;Second Class;479,984
CA-2011-127488;;Second Class;4,608
CA-2011-130918;;Second Class;7,632
CA-2011-132612;;Second Class;1441,3
CA-2011-142727;;Second Class;69,9
CA-2011-145576;;Second Class;26,128
CA-2011-154158;;Second Class;619,848
CA-2011-155852;;Second Class;19,456
CA-2011-156006;;Second Class;47,79
CA-2011-156790;;Second Class;155,456
CA-2011-158470;;Second Class;129,33
CA-2011-166457;;Second Class;40,54
CA-2011-169775;;Second Class;709,0425
CA-2012-109386;;Second Class;750,93
CA-2012-110345;;Second Class;4,608
CA-2012-116638;;Second Class;4297,644
CA-2012-128027;;Second Class;269,49
CA-2012-134257;;Second Class;498,93
CA-2012-150749;;Second Class;5,56
CA-2012-153325;;Second Class;58,72
CA-2012-153752;;Second Class;173,94
CA-2012-155600;;Second Class;1635,018
CA-2012-169733;;Second Class;9,952
CA-2013-101525;;Second Class;140,52
CA-2013-109722;;Second Class;1284,8
CA-2013-113292;;Second Class;871,8
CA-2013-116918;;Second Class;36,364
CA-2013-120873;;Second Class;290,98
CA-2013-123176;;Second Class;31,83
CA-2013-131065;;Second Class;513,52
CA-2013-136231;;Second Class;228,586
CA-2013-137043;;Second Class;859,14
CA-2013-140543;;Second Class;191,88
CA-2013-141180;;Second Class;7,764
CA-2013-149783;;Second Class;131,104
CA-2013-149979;;Second Class;487,22
CA-2013-152156;;Second Class;993,9
CA-2013-154690;;Second Class;225,296
CA-2013-155670;;Second Class;21,504
CA-2013-158841;;Second Class;8805,04
CA-2013-159765;;Second Class;27,86
CA-2013-162355;;Second Class;1302,83
CA-2013-164735;;Second Class;81,2
CA-2013-168753;;Second Class;1002,7
CA-2013-168893;;Second Class;903,77
CA-2013-169334;;Second Class;111,672
CA-2014-101210;;Second Class;13,152
CA-2014-101273;;Second Class;14,336
CA-2014-101483;;Second Class;61,216
CA-2014-102309;;Second Class;212,91
CA-2014-107209;;Second Class;194,848
CA-2014-107461;;Second Class;23,88
CA-2014-113705;;Second Class;874,8
CA-2014-123239;;Second Class;91,032
CA-2014-127726;;Second Class;209,88
CA-2014-128629;;Second Class;18,84
CA-2014-128699;;Second Class;47,992
CA-2014-129021;;Second Class;4590,344
CA-2014-129462;;Second Class;740,59
CA-2014-130834;;Second Class;16,272
CA-2014-139353;;Second Class;273,088
CA-2014-140088;;Second Class;301,96
CA-2014-144694;;Second Class;253,824
CA-2014-145310;;Second Class;7,824
CA-2014-146458;;Second Class;22,96
CA-2014-155159;;Second Class;48,87
CA-2014-155705;;Second Class;866,4
CA-2014-160458;;Second Class;25,92
CA-2014-161200;;Second Class;161,14
CA-2014-163321;;Second Class;79,992
CA-2014-163510;;Second Class;400,39
CA-2014-165204;;Second Class;728,968
CA-2014-167941;;Second Class;831,368
US-2011-102715;;Second Class;737,2
US-2011-117135;;Second Class;425,67
US-2012-136749;;Second Class;433,78
US-2012-151435;;Second Class;85,98
US-2013-120929;;Second Class;189,882
US-2013-142251;;Second Class;32,064
US-2014-135062;;Second Class;229,544
US-2014-153633;;Second Class;2,064
US-2014-158526;;Second Class;1814,68
US-2014-163195;;Second Class;29,16
US-2014-167920;;Second Class;1827,51
Grand Total;;Second Class;49724,2545
CA-2011-100895;;Standard Class;605,47
CA-2011-104283;;Standard Class;616,14
CA-2011-107573;;Standard Class;23,472
CA-2011-110100;;Standard Class;302,376
CA-2011-114335;;Standard Class;337,088
CA-2011-116190;;Standard Class;256,48
CA-2011-116407;;Standard Class;362,176
CA-2011-116568;;Standard Class;186,304
CA-2011-117016;;Standard Class;15,552
CA-2011-120950;;Standard Class;43,68
CA-2011-123400;;Standard Class;199,296
CA-2011-127299;;Standard Class;2692,329
CA-2011-127614;;Standard Class;1508,13
CA-2011-128839;;Standard Class;254,97
CA-2011-131527;;Standard Class;95,968
CA-2011-134551;;Standard Class;732,312
CA-2011-138296;;Standard Class;24,56
CA-2011-138709;;Standard Class;37,44
CA-2011-140886;;Standard Class;69,216
CA-2011-143182;;Standard Class;15,384
CA-2011-143840;;Standard Class;180,93
CA-2011-146731;;Standard Class;147,344
CA-2011-149958;;Standard Class;370,782
CA-2011-152268;;Standard Class;1793,98
CA-2011-155390;;Standard Class;42,208
CA-2011-159184;;Standard Class;149,56
CA-2011-159681;;Standard Class;105,52
CA-2011-161634;;Standard Class;32,4
CA-2011-163013;;Standard Class;14,67
CA-2011-164315;;Standard Class;1220,67
CA-2011-165764;;Standard Class;1395,673
CA-2011-166051;;Standard Class;773,7
CA-2011-169257;;Standard Class;63,381
CA-2012-100888;;Standard Class;47,952
CA-2012-101868;;Standard Class;175,32
CA-2012-102491;;Standard Class;3747,93
CA-2012-102582;;Standard Class;1918,79
CA-2012-103093;;Standard Class;74,52
CA-2012-104115;;Standard Class;55,984
CA-2012-107678;;Standard Class;893,09
CA-2012-108119;;Standard Class;301,96
CA-2012-110247;;Standard Class;8,226
CA-2012-111199;;Standard Class;115,296
CA-2012-111703;;Standard Class;27,504
CA-2012-112375;;Standard Class;78,192
CA-2012-114300;;Standard Class;371,66
CA-2012-114503;;Standard Class;84,96
CA-2012-115938;;Standard Class;535,36
CA-2012-118444;;Standard Class;387,136
CA-2012-118843;;Standard Class;199,86
CA-2012-119480;;Standard Class;364,07
CA-2012-119634;;Standard Class;46,152
CA-2012-120516;;Standard Class;5,64
CA-2012-120621;;Standard Class;1270,379
CA-2012-122266;;Standard Class;194,1395
CA-2012-123092;;Standard Class;288,85
CA-2012-123330;;Standard Class;107,976
CA-2012-125563;;Standard Class;121,888
CA-2012-125976;;Standard Class;2026,78
CA-2012-128139;;Standard Class;365,91
CA-2012-129098;;Standard Class;30,84
CA-2012-133242;;Standard Class;1046,47
CA-2012-134719;;Standard Class;1801,632
CA-2012-134782;;Standard Class;105,42
CA-2012-134894;;Standard Class;436,86
CA-2012-136147;;Standard Class;233,064
CA-2012-138457;;Standard Class;13,092
CA-2012-141145;;Standard Class;87,168
CA-2012-141565;;Standard Class;1664,132
CA-2012-142755;;Standard Class;919,49
CA-2012-143119;;Standard Class;517,5
CA-2012-143532;;Standard Class;14,496
CA-2012-144288;;Standard Class;19,584
CA-2012-145352;;Standard Class;6412,77
CA-2012-147879;;Standard Class;45,68
CA-2012-148705;;Standard Class;5,04
CA-2012-151547;;Standard Class;88,96
CA-2012-153535;;Standard Class;169,544
CA-2012-153626;;Standard Class;5,16
CA-2012-155635;;Standard Class;48,81
CA-2012-156328;;Standard Class;177,48
CA-2012-158148;;Standard Class;36,27
CA-2012-158421;;Standard Class;3631,96
CA-2012-162537;;Standard Class;104,51
CA-2012-162761;;Standard Class;50,462
CA-2012-163965;;Standard Class;377,902
CA-2012-165624;;Standard Class;1142,43
CA-2012-167696;;Standard Class;31,12
CA-2012-168459;;Standard Class;58,05
CA-2012-169740;;Standard Class;29,99
CA-2013-101469;;Standard Class;7,7
CA-2013-102162;;Standard Class;1611,01
CA-2013-104157;;Standard Class;2503,47
CA-2013-104276;;Standard Class;447,783
CA-2013-106950;;Standard Class;1854,241
CA-2013-108105;;Standard Class;323,88
CA-2013-108567;;Standard Class;2,694
CA-2013-108616;;Standard Class;298,83
CA-2013-111409;;Standard Class;3
CA-2013-111605;;Standard Class;2,61
CA-2013-112102;;Standard Class;448,81
CA-2013-113733;;Standard Class;334,256
CA-2013-113747;;Standard Class;185,88
CA-2013-116232;;Standard Class;24,066
CA-2013-117604;;Standard Class;239,5
CA-2013-118514;;Standard Class;866,4
CA-2013-118626;;Standard Class;705,544
CA-2013-121958;;Standard Class;52,136
CA-2013-131205;;Standard Class;291,74
CA-2013-132549;;Standard Class;73,36
CA-2013-133123;;Standard Class;99,156
CA-2013-133368;;Standard Class;405,344
CA-2013-134208;;Standard Class;396
CA-2013-135636;;Standard Class;387,72
CA-2013-136483;;Standard Class;4,704
CA-2013-137736;;Standard Class;41,86
CA-2013-139381;;Standard Class;233,48
CA-2013-140641;;Standard Class;38,19
CA-2013-142370;;Standard Class;254,99
CA-2013-142895;;Standard Class;370,184
CA-2013-145905;;Standard Class;1264,14
CA-2013-146143;;Standard Class;133,38
CA-2013-146150;;Standard Class;264,18
CA-2013-148684;;Standard Class;870,04
CA-2013-150000;;Standard Class;17,92
CA-2013-154060;;Standard Class;187,056
CA-2013-155138;;Standard Class;99,872
CA-2013-156503;;Standard Class;305,248
CA-2013-156573;;Standard Class;60,485
CA-2013-157245;;Standard Class;641,96
CA-2013-157588;;Standard Class;88,15
CA-2013-159989;;Standard Class;40,68
CA-2013-160234;;Standard Class;135,95
CA-2013-160486;;Standard Class;72,224
CA-2013-163174;;Standard Class;186,54
CA-2013-163776;;Standard Class;1110,5
CA-2013-164574;;Standard Class;732,156
CA-2013-166282;;Standard Class;158,256
CA-2013-166485;;Standard Class;16,496
CA-2013-168536;;Standard Class;66,3
CA-2013-169103;;Standard Class;1466,32
CA-2014-100426;;Standard Class;12,48
CA-2014-100622;;Standard Class;1030,742
CA-2014-100902;;Standard Class;699,4
CA-2014-101042;;Standard Class;843,84
CA-2014-102204;;Standard Class;3740,51
CA-2014-102610;;Standard Class;248,396
CA-2014-102736;;Standard Class;177,08
CA-2014-103499;;Standard Class;209,568
CA-2014-104731;;Standard Class;951,98
CA-2014-106537;;Standard Class;20,736
CA-2014-108035;;Standard Class;491,888
CA-2014-108112;;Standard Class;559,2
CA-2014-109183;;Standard Class;649
CA-2014-110926;;Standard Class;25,06
CA-2014-114412;;Standard Class;15,552
CA-2014-114636;;Standard Class;192,16
CA-2014-116855;;Standard Class;504,9
CA-2014-116939;;Standard Class;177,55
CA-2014-117079;;Standard Class;863,88
CA-2014-117198;;Standard Class;659,9
CA-2014-118402;;Standard Class;243,92
CA-2014-119004;;Standard Class;105,408
CA-2014-119305;;Standard Class;173,8
CA-2014-119669;;Standard Class;5,67
CA-2014-120894;;Standard Class;28,08
CA-2014-121804;;Standard Class;72,8
CA-2014-122056;;Standard Class;181,86
CA-2014-123351;;Standard Class;80,48
CA-2014-124296;;Standard Class;712,85
CA-2014-124765;;Standard Class;723,92
CA-2014-126354;;Standard Class;119,178
CA-2014-126914;;Standard Class;776,08
CA-2014-127306;;Standard Class;175,086
CA-2014-128363;;Standard Class;2382,926
CA-2014-128755;;Standard Class;629,86
CA-2014-130309;;Standard Class;544,38
CA-2014-130904;;Standard Class;22,744
CA-2014-132185;;Standard Class;52,344
CA-2014-133501;;Standard Class;5,184
CA-2014-133641;;Standard Class;48,69
CA-2014-133928;;Standard Class;4,572
CA-2014-135587;;Standard Class;372,64
CA-2014-137631;;Standard Class;751,984
CA-2014-138975;;Standard Class;2361,52
CA-2014-139493;;Standard Class;15,92
CA-2014-139948;;Standard Class;7,904
CA-2014-140627;;Standard Class;303,32
CA-2014-140872;;Standard Class;1111,698
CA-2014-142090;;Standard Class;2165,658
CA-2014-143861;;Standard Class;17,088
CA-2014-144365;;Standard Class;11,68
CA-2014-145275;;Standard Class;14,94
CA-2014-145737;;Standard Class;163,96
CA-2014-146136;;Standard Class;24,448
CA-2014-146192;;Standard Class;675,06
CA-2014-146983;;Standard Class;1577,94
CA-2014-147228;;Standard Class;458,984
CA-2014-148999;;Standard Class;419,136
CA-2014-149853;;Standard Class;33,472
CA-2014-150910;;Standard Class;1090,348
CA-2014-152786;;Standard Class;40,41
CA-2014-152968;;Standard Class;23,08
CA-2014-154088;;Standard Class;26,72
CA-2014-158386;;Standard Class;124,75
CA-2014-158743;;Standard Class;199,17
CA-2014-159954;;Standard Class;2,78
CA-2014-161970;;Standard Class;30,9
CA-2014-162173;;Standard Class;608,43
CA-2014-165687;;Standard Class;35,04
CA-2014-165715;;Standard Class;32,776
CA-2014-167871;;Standard Class;47,328
CA-2014-169005;;Standard Class;5,56
US-2011-115196;;Standard Class;1299,99
US-2011-117170;;Standard Class;52,608
US-2011-147627;;Standard Class;1859,4
US-2011-150574;;Standard Class;252,612
US-2011-155544;;Standard Class;310,528
US-2011-156559;;Standard Class;638,82
US-2011-158057;;Standard Class;59,109
US-2011-165659;;Standard Class;904,13
US-2011-167633;;Standard Class;15,552
US-2012-108966;;Standard Class;979,9455
US-2012-120572;;Standard Class;12,828
